City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
192,Guerrero Negro,MX,2019-11-16 01:31:55,27.97,-114.04,65.82,85,72,10.25,broken clouds,0.0,0.0
193,Rognan,NO,2019-11-16 01:31:55,67.1,15.4,39.2,85,40,11.41,scattered clouds,0.0,0.0
194,Portales,US,2019-11-16 01:31:55,34.19,-103.33,51.8,29,1,8.05,clear sky,0.0,0.0
195,Bulgan,MN,2019-11-16 01:31:55,48.81,103.53,4.06,92,100,12.59,light snow,0.0,1.19
196,Wewak,PG,2019-11-16 01:31:55,-3.55,143.63,84.56,70,98,6.22,overcast clouds,0.0,0.0
197,Broken Hill,AU,2019-11-16 01:31:56,-31.97,141.45,66.2,42,8,9.17,clear sky,0.0,0.0
198,Karakol,KG,2019-11-16 01:31:56,42.49,78.39,29.43,50,18,6.15,few clouds,0.0,0.0
199,Ilulissat,GL,2019-11-16 01:31:56,69.22,-51.1,28.4,74,96,12.75,overcast clouds,0.0,0.0
200,Dwarka,IN,2019-11-16 01:31:56,28.58,77.04,64.4,77,40,6.93,fog,0.0,0.0
201,Labuhan,ID,2019-11-16 01:31:57,-2.54,115.51,96.17,37,96,1.54,overcast clouds,0.0,0.0
202,Shingu,JP,2019-11-16 01:31:57,33.72,135.99,60.8,55,0,9.17,clear sky,0.0,0.0
203,Miri,NG,2019-11-16 01:31:57,10.31,9.75,72.73,30,10,5.7,clear sky,0.0,0.0
204,Los Llanos De Aridane,ES,2019-11-16 01:31:57,28.66,-17.92,64.4,72,75,13.87,broken clouds,0.0,0.0
205,Longyearbyen,NO,2019-11-16 01:31:58,78.22,15.63,32.0,97,75,16.11,light rain and snow,0.0,0.0
206,Kodiak,US,2019-11-16 01:31:58,39.95,-94.76,44.6,52,1,9.17,clear sky,0.0,0.0
207,Barra Do Corda,BR,2019-11-16 01:31:58,-5.5,-45.25,78.39,65,0,1.05,clear sky,0.0,0.0
208,Carballo,ES,2019-11-16 01:31:58,43.21,-8.69,51.01,100,75,3.36,light rain,0.0,0.0
209,Huancabamba,PE,2019-11-16 01:31:58,-5.24,-79.45,50.34,98,100,0.92,overcast clouds,0.0,0.0
210,Oyama,JP,2019-11-16 01:31:59,36.31,139.8,62.01,62,20,1.12,few clouds,0.0,0.0
211,Prabumulih,ID,2019-11-16 01:31:59,-3.5,104.19,91.94,51,85,2.68,overcast clouds,0.0,0.0
212,Ribeira Brava,PT,2019-11-16 01:31:59,32.65,-17.07,62.6,67,75,17.22,light intensity shower rain,0.0,0.0
213,Mandera,ET,2019-11-16 01:31:59,3.94,41.86,80.02,54,66,6.55,broken clouds,0.0,0.0
214,Rapid City,US,2019-11-16 01:27:42,44.08,-103.23,48.0,52,1,4.88,clear sky,0.0,0.0
215,Redlands,US,2019-11-16 01:32:00,34.06,-117.19,78.8,55,1,5.82,clear sky,0.0,0.0
216,Great Yarmouth,GB,2019-11-16 01:32:00,52.61,1.73,46.0,87,98,5.82,overcast clouds,0.0,0.0
217,Pueblo Nuevo,AR,2019-11-16 01:32:00,-32.93,-68.73,86.0,40,0,15.84,clear sky,0.0,0.0
218,Sitka,US,2019-11-16 01:32:01,37.17,-99.65,50.0,45,33,7.0,scattered clouds,0.0,0.0
219,Quanzhou,CN,2019-11-16 01:32:01,24.9,118.59,69.8,60,75,4.47,broken clouds,0.0,0.0
220,San Cristobal,HN,2019-11-16 01:32:01,14.68,-86.92,66.92,95,100,2.42,light rain,2.38,0.0
221,Shubarshi,KZ,2019-11-16 01:32:01,48.59,57.19,25.83,44,0,5.68,clear sky,0.0,0.0
222,Carangola,BR,2019-11-16 01:32:02,-20.73,-42.03,64.17,91,98,1.83,overcast clouds,0.0,0.0
223,Roald,NO,2019-11-16 01:32:02,62.58,6.12,32.0,52,67,6.93,broken clouds,0.0,0.0
224,Kisangani,CD,2019-11-16 01:32:02,0.52,25.21,69.94,98,100,2.46,light rain,2.19,0.0
225,Alice Springs,AU,2019-11-16 01:32:03,-23.7,133.88,87.8,8,0,9.17,clear sky,0.0,0.0
226,Fukue,JP,2019-11-16 01:32:03,35.03,136.69,63.0,58,20,6.93,few clouds,0.0,0.0
227,Oda,JP,2019-11-16 01:32:03,35.19,132.5,59.0,77,75,8.05,light intensity shower rain,0.0,0.0
228,Luanda,AO,2019-11-16 01:32:03,-8.83,13.24,78.8,83,75,2.24,broken clouds,0.0,0.0
229,Mago,RU,2019-11-16 01:32:03,53.27,140.15,4.21,91,48,5.26,scattered clouds,0.0,0.0
